City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Praia,CV,79.97,overcast clouds,14.9215,-23.5087,LT Aparthotel
3,Jamestown,US,72.72,overcast clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
4,Puerto Ayora,EC,70.56,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
6,Vaini,TO,78.96,few clouds,-21.2,-175.2,Keleti Beach Resort
15,Kalaleh,IR,76.6,overcast clouds,37.3807,55.4916,کلاله
17,Puerto Escondido,MX,79.63,broken clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
21,Tabou,CI,75.13,overcast clouds,4.423,-7.3528,hotêl doufoulougou
23,Bethel,US,79.03,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
32,Axim,GH,75.97,overcast clouds,4.8699,-2.2405,Axim Beach Resort And Spa
33,Progreso,MX,75.31,scattered clouds,21.2833,-89.6667,Playa Linda Hotel
39,Bougouni,ML,72.7,broken clouds,11.417,-7.479,Non Stop
40,Mahon,ES,75.76,clear sky,39.8885,4.2658,ARTIEM Capri
58,Atuona,PF,77.18,clear sky,-9.8,-139.0333,Villa Enata
60,Rikitea,PF,73.83,overcast clouds,-23.1203,-134.9692,People ThankYou
61,Salalah,OM,77.09,light intensity drizzle,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
65,Sao Filipe,CV,79.07,broken clouds,14.8961,-24.4956,Hotel Xaguate
69,Verkhnevilyuysk,RU,77.49,scattered clouds,63.4453,120.3167,Gostinitsa Mila
72,Cayenne,GF,77.09,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
74,Wamba,NG,71.33,moderate rain,8.9333,8.6,Roma Zee Guest House Annex
75,Atasu,KZ,71.1,few clouds,48.6814,71.6433,Dostyk
77,Tura,IN,74.57,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
84,Ayia Galini,GR,74.84,clear sky,35.1,24.6833,Sunningdale Bungalows
96,Carnarvon,AU,70.72,overcast clouds,-24.8667,113.6333,Hospitality Carnarvon
102,Taonan,CN,74.59,moderate rain,45.3333,122.7833,Makro Hotel
104,Guerrero Negro,MX,75.56,scattered clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
106,Ketchikan,US,79.27,clear sky,55.3422,-131.6461,Snow's Cove Lodge
108,Payo,ID,73.74,overcast clouds,-3.7508,103.6372,Mess keban agung
114,Sinnamary,GF,78.49,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
115,Hambantota,LK,78.12,moderate rain,6.1241,81.1185,Bungalow 63
116,Kon Tum,VN,71.73,broken clouds,14.35,108.0,Hoa đà spa- homestay
117,Katherine,AU,70.12,scattered clouds,-14.4667,132.2667,Pine Tree Motel
119,Balsas,BR,78.21,few clouds,-7.5325,-46.0356,Novo Hotel
123,Trairi,BR,78.76,overcast clouds,-3.2778,-39.2689,janelas do mar
128,Boyolangu,ID,74.26,broken clouds,-8.1181,111.8935,Yos ega cv
131,La Tuque,CA,73.65,overcast clouds,47.4334,-72.7824,Appart-Hôtel La Tuque
147,Marsa Matruh,EG,77.31,clear sky,31.3525,27.2453,Beau Site
151,Sao Jose Da Coroa Grande,BR,73.0,broken clouds,-8.8978,-35.1478,Crôa Mares Hotel
156,Linjiang,CN,75.76,broken clouds,41.8069,126.9078,格林豪泰
158,Koumac,NC,74.37,overcast clouds,-20.5667,164.2833,Le Monitel
171,Oussouye,SN,78.89,overcast clouds,12.485,-16.5469,Auberge du Routard
177,Urucara,BR,76.73,overcast clouds,-2.5364,-57.76,Pousada Maria Bonita
178,Fortuna,US,70.93,few clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
182,Bengkulu,ID,75.92,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
188,Avarua,CK,78.85,scattered clouds,-21.2078,-159.775,Paradise Inn
189,Touros,BR,73.98,light rain,-5.1989,-35.4608,INN NEW HORIZON
190,Kavaratti,IN,78.89,overcast clouds,10.5669,72.642,Green leaf
193,Praia Da Vitoria,PT,73.76,light intensity drizzle,38.7333,-27.0667,Hotel Branco I
194,Sao Felix Do Xingu,BR,74.32,clear sky,-6.6447,-51.995,Rio Xingu Camping
198,Port-Cartier,CA,73.08,broken clouds,50.0334,-66.8654,Le Q'Artier
202,Puerto Del Rosario,ES,73.15,few clouds,28.5004,-13.8627,Hotel JM Puerto del Rosario
215,Oriximina,BR,78.76,scattered clouds,-1.7656,-55.8661,Pousada Tia Amélia
216,Bull Savanna,JM,77.67,overcast clouds,17.8868,-77.5902,Big Red's
217,San Quintin,MX,72.73,scattered clouds,30.4833,-115.95,Don Eddie's Sport Fishing Center
218,Neiafu,TO,79.48,scattered clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
219,Anloga,GH,76.01,overcast clouds,5.7947,0.8973,Pin Drop Hotel
220,Koumra,TD,70.32,overcast clouds,8.9126,17.5539,Yamtoide house koumra
223,Thiruvananthapuram,IN,76.98,mist,8.4833,76.9167,Hotel Residency Tower
233,Shetpe,KZ,75.78,light rain,44.1667,52.1167,Rtsm Shetpe Analog
234,Ponta Do Sol,PT,72.23,clear sky,32.6667,-17.1,Hotel do Campo
241,Ribeira Grande,PT,73.0,scattered clouds,38.5167,-28.7,Quinta da Meia Eira
242,Kita,ML,75.74,overcast clouds,13.0349,-9.4895,Hôtel Chat Rouge
247,Erenhot,CN,79.23,scattered clouds,43.6475,111.9767,Erenhot Rurouni Youth Hostel
248,Bonthe,SL,74.7,light rain,7.5264,-12.505,Bonthe Holiday Village
249,Kuala Lipis,MY,76.3,scattered clouds,4.1842,102.0468,Lipis Centrepoint Hotel
258,Garowe,SO,73.09,scattered clouds,8.4054,48.4845,Curubo Hotel
261,Barmer,IN,78.51,overcast clouds,25.75,71.3833,Jain Dharamshala
263,Cotonou,BJ,78.78,few clouds,6.3654,2.4183,Novotel Cotonou Orisha
265,Berezovyy,RU,76.53,overcast clouds,51.6667,135.7,"Hotel ""Phoenix"""
266,Broome,US,77.9,overcast clouds,42.2506,-75.833,Chenango Valley State Park
270,Belem De Sao Francisco,BR,71.02,few clouds,-8.7539,-38.9658,Village Hotel
272,Maceio,BR,74.64,scattered clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
273,Pacific Grove,US,74.55,clear sky,36.6177,-121.9166,Lovers Point Inn
289,San Roque,ES,74.23,clear sky,36.2107,-5.3842,Hotel Guadacorte Park
291,Carutapera,BR,75.34,overcast clouds,-1.195,-46.02,Lidera
293,Udachnyy,RU,79.45,scattered clouds,66.4167,112.4,Severnoye Siyaniye
294,Gunjur,GM,77.07,few clouds,13.2019,-16.7339,Jallo Kurundingoto Eco Tourist Camp
301,Alvaraes,BR,78.66,overcast clouds,-3.2208,-64.8042,Av. Castelo Branco. Ginásio Ermelino vieira.
302,Sibu,MY,77.31,few clouds,2.3,111.8167,RH HOTEL (4 Star)
308,Saint Johnsbury,US,73.69,clear sky,44.4192,-72.0151,Comfort Inn & Suites Near Burke Mountain
309,Port-Gentil,GA,74.93,overcast clouds,-0.7193,8.7815,Fengshui Residence
315,Lagoa,PT,71.64,broken clouds,39.05,-27.9833,Casa Das Faias
321,Dawei,MM,79.57,overcast clouds,14.0833,98.2,Hotel Dawei
324,Maningrida,AU,79.57,few clouds,-12.0667,134.2667,Dhukurrdji Lodge
328,Padang,ID,71.65,scattered clouds,-0.9492,100.3543,Mercure Padang
329,Guane,CU,79.92,broken clouds,22.2025,-84.0875,base de Campismo LosPortales de Guane
337,Maragogi,BR,72.55,overcast clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
339,Tondano,ID,77.09,scattered clouds,1.3038,124.9112,Villa Bella
346,Sale,MA,70.75,clear sky,34.0389,-6.8166,Hôtel Mercure Rabat Sheherazade
347,Shieli,KZ,75.6,clear sky,44.1667,66.75,Gostinitsa Aybek Shieli
348,Arrecife,ES,73.38,broken clouds,28.963,-13.5477,Hotel Lancelot
351,Faanui,PF,79.16,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
367,Los Llanos De Aridane,ES,72.12,few clouds,28.6585,-17.9182,Valle Aridane
370,Ramanagaram,IN,71.91,broken clouds,12.7167,77.3,Shree Balaji Deluxe Lodge
373,San Pedro De Macoris,DO,77.61,clear sky,18.4616,-69.2972,Apartahotel Guaraguao
374,Isabela,PH,78.85,overcast clouds,6.7085,121.9711,Isawad Resort
380,Iralaya,HN,79.68,clear sky,15.0,-83.2333,Iglesia morava renovada
386,Biltine,TD,72.57,heavy intensity rain,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
387,Roebourne,AU,73.9,clear sky,-20.7833,117.1333,Latitude20 Roebourne Village
394,Omboue,GA,71.01,broken clouds,-1.5746,9.2618,Hotel Olako
395,Portobelo,PA,76.96,overcast clouds,9.55,-79.65,Scuba Portobelo
396,Noumea,NC,75.99,overcast clouds,-22.2763,166.4572,Hôtel Le Lagon
400,Marawi,PH,78.71,overcast clouds,7.9986,124.2928,Derogongan Residence
406,Fort-Shevchenko,KZ,72.3,moderate rain,44.5086,50.263,Oasis hotel Bautino
411,Jinchang,CN,79.07,few clouds,38.4953,102.1739,Mingshihui Jinchang International Hotel
414,Urumqi,CN,79.75,clear sky,43.801,87.6005,Hua Ling Grand Hotel Urumqi
416,Yatou,CN,75.99,overcast clouds,37.15,122.3833,GreenTree Hotel Rongcheng Bus Station
421,Changli,CN,74.12,overcast clouds,39.7042,119.1506,7Days Inn Qinhuangdao Changli Jieyang Street
427,Harper,LR,75.18,overcast clouds,4.375,-7.7169,Screensaver
428,Kiunga,PG,76.89,broken clouds,-6.1219,141.2906,Airport Lodge Kiunga
433,Westport,US,78.44,overcast clouds,41.1415,-73.3579,The Westport Inn
437,Zhangye,CN,79.14,broken clouds,38.9342,100.4517,Zhangye Lvzhou Holiday Inn
439,Teguise,ES,70.02,broken clouds,29.0605,-13.564,B&B La Casona de Nazaret
443,Kisangani,CD,70.48,overcast clouds,0.5167,25.2,Grand Ramela Hotel
447,Matara,LK,74.86,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
451,La Ronge,CA,71.85,scattered clouds,55.1001,-105.2842,Northland Motor Hotel
462,Chernyshevskiy,RU,79.14,clear sky,63.0128,112.4714,Chernyseyskiy
487,Waddan,LY,79.11,clear sky,29.1614,16.139,محل الشريف محمد العايب
490,Isangel,VU,75.31,overcast clouds,-19.55,169.2667,Tanna Lodge
491,Gboko,NG,70.86,moderate rain,7.3179,8.9951,Mavillah Apartment and Suites
492,Ciudad Del Maiz,MX,70.52,broken clouds,22.4,-99.6,Hotel Casona del General
496,Kismayo,SO,75.18,overcast clouds,-0.3582,42.5454,Agan-Hotel
501,Lethem,GY,73.65,overcast clouds,3.3803,-59.7968,Savannah Inn
502,Algeciras,ES,73.08,clear sky,36.1333,-5.4505,AC Hotel by Marriott Algeciras
503,Kemin,KG,73.65,few clouds,42.7846,75.6892,Hotel Kok-Oirok
504,Chake Chake,TZ,71.64,scattered clouds,-5.2459,39.7666,Hotel Archipelago
506,Vila Do Maio,CV,79.74,overcast clouds,15.1333,-23.2167,Hotel Marilu
510,Tautira,PF,76.84,light rain,-17.7333,-149.15,Pension Oaoa
512,Raigarh,IN,79.75,overcast clouds,21.9,83.4,Hotel Shivam
514,Manggar,ID,79.59,moderate rain,-2.8833,108.2667,Guest Hotel
515,Sabana Grande De Boya,DO,70.65,clear sky,18.945,-69.7933,Balcones De Boya
517,Sungairaya,ID,78.13,overcast clouds,0.7,108.9,Rumah Kuku Moimoi Shelly
518,Tortoli,IT,78.62,scattered clouds,39.9256,9.6572,Hotel La Bitta
522,Mashhad,IR,77.14,clear sky,36.297,59.6062,Khanye Sabz Hotel
524,Bandarbeyla,SO,76.73,overcast clouds,9.4942,50.8122,JABIR HOTEL
533,Tevaitoa,PF,78.69,light rain,-16.7833,-151.5,Hôtel Raiatea Lodge
537,Meulaboh,ID,76.59,moderate rain,4.1363,96.1285,Kost Pria
538,Iquitos,PE,75.24,scattered clouds,-3.7481,-73.2472,Cortez Malaga Techy Caroly
547,Puri,IN,79.32,overcast clouds,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
548,Olinda,BR,73.13,scattered clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
549,Tonantins,BR,74.39,broken clouds,-2.8731,-67.8022,Hotel Hortensias
551,Domoni,KM,73.2,clear sky,-12.2569,44.5319,Al Djadid
555,Kankon,IN,76.8,broken clouds,15.0167,74.0167,Palolem Beach Resort
559,Gat,IL,78.4,clear sky,31.61,34.7642,OlusHome
565,Mazamari,PE,72.12,scattered clouds,-11.3258,-74.5308,Hospedaje Ratto
568,Drayton Valley,CA,74.68,clear sky,53.2168,-114.9854,Service Plus Inns & Suites (Drayton Valley Hotel)
570,Itarema,BR,79.05,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
576,Aleppo,SY,78.21,clear sky,36.25,37.5,أمل دوريش
578,Luang Prabang,LA,78.76,few clouds,19.8856,102.1347,The Apsara
594,Palu,ID,78.22,overcast clouds,-0.8917,119.8707,Hotel Santika Palu
595,Porto Empedocle,IT,78.31,clear sky,37.2934,13.5264,Hotel dei Pini
598,Samarai,PG,78.67,overcast clouds,-10.6167,150.6667,Nuli Sapi
599,Anau,PF,79.05,light rain,-16.5167,-151.7333,InterContinental Bora Bora Resort Thalasso Spa
602,Fare,PF,78.24,light rain,-16.7,-151.0167,Maitai Lapita Village Huahine
603,Guiyang,CN,70.29,overcast clouds,26.5833,106.7167,Guo Tai Hotel Guiyang
610,Nantucket,US,75.99,clear sky,41.2835,-70.0995,Jared Coffin House
613,Mersing,MY,75.11,scattered clouds,2.4312,103.8405,Timotel Hotel
617,Buchanan,LR,74.86,light rain,5.8808,-10.0467,Kamaneahn Hotel Inc
620,Estevan,CA,70.21,few clouds,49.1334,-102.9842,"Motel 6 Estevan, SK"
628,Pontes E Lacerda,BR,74.03,clear sky,-15.2261,-59.3353,Hotel Bressan
640,Boa Vista,BR,78.78,broken clouds,2.8197,-60.6733,Aipana Plaza Hotel
641,Presidencia Roque Saenz Pena,AR,76.05,broken clouds,-26.7852,-60.4388,Hotel Gualok
642,Jardim,BR,72.7,clear sky,-21.4803,-56.1381,Estancia Hotel - Jardim MS
646,Escarcega,MX,78.82,overcast clouds,18.6089,-90.7454,Hotel Maria Isabel
655,Vitim,RU,73.69,overcast clouds,59.4511,112.5578,Gostinitsa V Apteke
660,Panama City,PA,78.75,scattered clouds,8.9936,-79.5197,Trump International Hotel & Tower Panama
662,Halvad,IN,79.61,overcast clouds,23.0167,71.1833,"""BHAVANI KRUPA"" Jagdishbhai H. Kariya"
666,Eirunepe,BR,78.73,scattered clouds,-6.6603,-69.8736,Hotel novo Acre & Comercial Aguiar
668,Wajir,KE,70.47,overcast clouds,1.7471,40.0573,Mahatallah Hotel
675,Silver City,US,75.16,scattered clouds,32.7701,-108.2803,Copper Manor Motel
682,Muncar,ID,77.7,overcast clouds,-8.4333,114.3333,Zaky Homestay
685,Sept-Iles,CA,73.4,scattered clouds,50.2001,-66.3821,Comfort Inn
688,Wang Saphung,TH,78.82,few clouds,17.301,101.7685,โรงแรมวังรีสอร์ท
689,Noshiro,JP,77.83,clear sky,40.2039,140.0242,Suigetsu
692,Cusuna,HN,78.42,clear sky,15.85,-85.2333,San Francisco de la paz
